ParentKey,LineNum,ItemDescription,TaxCode,LineTotal,Location,SACEntry,AccountCode,Remarks
DocNum,LineNum,Description,TaxCode,Taxable Amount,Location,SacEntry,AcctCode,Remarks
35001,0,39,CSGST12,12180.00,8,1,3111003,CREDIT NOTE-TG (ST)
35001,1,39,CSGST5,3198.00,8,1,3111003,CREDIT NOTE-TG (ST)
35002,0,40,CSGST5,8080.00,8,1,3111003,CREDIT NOTE-TG (ST)
35003,0,CN/TG/0261,CSGST12,34297.50,8,1,3111003,CREDIT NOTE-TG (ST)
35003,1,CN/TG/0261,CSGST5,3198.00,8,1,3111003,CREDIT NOTE-TG (ST)
35004,0,CN/TG/0231,CSGST12,22680.00,8,1,3111003,CREDIT NOTE-TG (ST)
35004,1,CN/TG/0231,CSGST5,16052.50,8,1,3111003,CREDIT NOTE-TG (ST)
35005,0,CN/TG/0267,CSGST5,28237.11,8,1,3111003,CREDIT NOTE-TG (ST)
35006,0,41,CSGST12,4192.50,8,1,3111003,CREDIT NOTE-TG (ST)
35007,0,30,CSGST5,93297.50,8,1,3111003,CREDIT NOTE-TG (ST)
35008,0,CN/TG/016,CSGST5,79707.50,8,1,3111003,CREDIT NOTE-TG (ST)
35009,0,CN/TG/032,CSGST12,1615.50,8,1,3111003,CREDIT NOTE-TG (ST)
35009,1,CN/TG/032,CSGST5,187.50,8,1,3111003,CREDIT NOTE-TG (ST)
35010,0,CN/TG/0283,CSGST12,12180.00,8,1,3111003,CREDIT NOTE-TG (ST)
35010,1,CN/TG/0283,CSGST5,45490.00,8,1,3111003,CREDIT NOTE-TG (ST)
35011,0,37,CSGST5,3125.00,8,1,3111003,CREDIT NOTE-TG (ST)
35012,0,CN/TG/0270,CSGST12,24360.00,8,1,3111003,CREDIT NOTE-TG (ST)
35013,0,CN/TG/0315,CSGST5,41365.00,8,1,3111003,CREDIT NOTE-TG (ST)
35013,1,CN/TG/0315,CSGST12,12180.00,8,1,3111003,CREDIT NOTE-TG (ST)
35014,0,CN/TG/0204,CSGST5,14680.00,8,1,3111003,CREDIT NOTE-TG (ST)
35014,1,CN/TG/0204,CSGST12,29950.00,8,1,3111003,CREDIT NOTE-TG (ST)
35015,0,CN/TG/0286,CSGST5,16160.00,8,1,3111003,CREDIT NOTE-TG (ST)
35016,0,CN/TG/0153,CSGST12,2795.00,8,1,3111003,CREDIT NOTE-TG (ST)
35016,1,CN/TG/0153,CSGST5,20000.00,8,1,3111003,CREDIT NOTE-TG (ST)
35017,0,CN/TG/ST58,CSGST5,32000.00,8,1,3111003,CREDIT NOTE-TG (ST)
35018,0,34,CSGST5,14680.00,8,1,3111003,CREDIT NOTE-TG (ST)
35019,0,CN/TG/0158,CSGST12,33952.75,8,1,3111003,CREDIT NOTE-TG (ST)
35019,1,CN/TG/0158,CSGST5,6026.50,8,1,3111003,CREDIT NOTE-TG (ST)
35020,0,CN/TG/0159,CSGST5,7612.50,8,1,3111003,CREDIT NOTE-TG (ST)
35021,0,CN/TG/0175,CSGST5,24240.00,8,1,3111003,CREDIT NOTE-TG (ST)
35022,0,CN/TG/0292,CSGST12,31180.00,8,1,3111003,CREDIT NOTE-TG (ST)
35023,0,CN/TG/0300,CSGST5,72720.00,8,1,3111003,CREDIT NOTE-TG (ST)
35023,1,CN/TG/0300,CSGST12,36540.00,8,1,3111003,CREDIT NOTE-TG (ST)
35024,0,CN/TG/0160,CSGST12,10770.00,8,1,3111003,CREDIT NOTE-TG (ST)
35025,0,CN/TG/0183,CSGST5,10000.00,8,1,3111003,CREDIT NOTE-TG (ST)
35025,1,CN/TG/0183,CSGST12,11571.00,8,1,3111003,CREDIT NOTE-TG (ST)
35025,2,CN/TG/0183,CSGST0,12000.00,8,1,3111003,CREDIT NOTE-TG (ST)
35026,0,CN/TG/0165,CSGST12,12180.00,8,1,3111003,CREDIT NOTE-TG (ST)
35026,1,CN/TG/0165,CSGST5,7500.00,8,1,3111003,CREDIT NOTE-TG (ST)
35027,0,CN/TG/0166,CSGST12,9744.00,8,1,3111003,CREDIT NOTE-TG (ST)
35028,0,38,CSGST5,6250.00,8,1,3111003,CREDIT NOTE-TG (ST)
35029,0,CN/TG/0293,CSGST12,9062.50,8,1,3111003,CREDIT NOTE-TG (ST)
35029,1,CN/TG/0293,CSGST5,5000.00,8,1,3111003,CREDIT NOTE-TG (ST)
35030,0,CN/TG/0209,CSGST12,12180.00,8,1,3111003,CREDIT NOTE-TG (ST)
35030,1,CN/TG/0209,CSGST5,24074.75,8,1,3111003,CREDIT NOTE-TG (ST)
35031,0,CN/TG/0217,CSGST12,15624.00,8,1,3111003,CREDIT NOTE-TG (ST)
35031,1,CN/TG/0217,CSGST5,25288.00,8,1,3111003,CREDIT NOTE-TG (ST)
35032,0,47,CSGST5,17718.66,8,1,3111003,CREDIT NOTE-TG (ST)
35033,0,48,CSGST5,10968.66,8,1,3111003,CREDIT NOTE-TG (ST)
35034,0,CN/TG/0207,CSGST5,7917.00,8,1,3111003,CREDIT NOTE-TG (ST)
35035,0,CN/TG/0196,CSGST5,26069.00,8,1,3111003,CREDIT NOTE-TG (ST)
35035,1,CN/TG/0196,CSGST12,13380.00,8,1,3111003,CREDIT NOTE-TG (ST)
35036,0,CN/TG/0253,CSGST5,6300.00,8,1,3111003,CREDIT NOTE-TG (ST)
35036,1,CN/TG/0253,CSGST12,12180.00,8,1,3111003,CREDIT NOTE-TG (ST)
